Text1,Text2,score
love,sex,0.15384615384615385
tiger,cat,0.5454545454545454
tiger,tiger,0.75
book,paper,0.25
computer,keyboard,0.8235294117647058
computer,internet,0.631578947368421
plane,car,0.6666666666666666
train,car,0.6666666666666666
telephone,communication,0.13333333333333333
television,radio,0.9
media,radio,N/A
drug,abuse,0.14285714285714285
bread,butter,0.75
cucumber,potato,0.2
doctor,nurse,0.8695652173913043
professor,doctor,0.5
student,professor,0.5714285714285714
smart,student,0.13333333333333333
smart,stupid,0.13333333333333333
company,stock,0.2857142857142857
stock,market,0.2857142857142857
stock,phone,0.125
stock,CD,0.4
stock,jaguar,0.09090909090909091
stock,egg,0.11764705882352941
fertility,egg,0.125
stock,live,N/A
stock,life,0.3076923076923077
book,library,0.5263157894736842
bank,money,0.15384615384615385
wood,forest,0.2857142857142857
money,cash,0.8
professor,cucumber,0.5
king,cabbage,0.25
king,queen,0.5714285714285714
king,rook,0.38095238095238093
bishop,rabbi,0.5454545454545454
Jerusalem,Israel,0.7
Jerusalem,Palestinian,0.2857142857142857
holy,sex,0.3076923076923077
fuck,sex,0.8571428571428571
Maradona,football,N/A
football,soccer,0.88
football,basketball,0.782608695652174
football,tennis,0.782608695652174
tennis,racket,0.4444444444444444
Arafat,peace,0.14285714285714285
Arafat,terror,0.125
Arafat,Jackson,0.5714285714285714
law,lawyer,0.16666666666666666
movie,star,0.5333333333333333
movie,popcorn,0.36363636363636365
movie,critic,0.4444444444444444
movie,theater,0.625
physics,proton,0.09523809523809523
physics,chemistry,0.9
space,chemistry,0.2857142857142857
alcohol,chemistry,0.21052631578947367
vodka,gin,0.9090909090909091
vodka,brandy,0.9090909090909091
drink,car,0.1111111111111111
drink,ear,0.13333333333333333
drink,mouth,0.11764705882352941
drink,eat,N/A
baby,mother,0.5
drink,mother,0.11764705882352941
car,automobile,1.0
gem,jewel,0.5882352941176471
journey,voyage,0.8571428571428571
boy,lad,0.6666666666666666
coast,shore,0.9090909090909091
asylum,madhouse,0.631578947368421
magician,wizard,0.631578947368421
midday,noon,1.0
furnace,stove,0.45454545454545453
food,fruit,0.2857142857142857
bird,cock,0.21052631578947367
bird,crane,0.6
tool,implement,0.9333333333333333
brother,monk,0.5714285714285714
crane,implement,0.47058823529411764
lad,brother,0.6
journey,car,0.09523809523809523
monk,oracle,0.5714285714285714
cemetery,woodland,0.42857142857142855
food,rooster,0.21052631578947367
coast,hill,0.6666666666666666
forest,graveyard,0.13333333333333333
shore,woodland,0.6
monk,slave,0.6666666666666666
coast,forest,0.16666666666666666
lad,wizard,0.6666666666666666
chord,smile,0.2857142857142857
glass,magician,0.3333333333333333
noon,string,0.1111111111111111
rooster,voyage,0.08
money,dollar,0.42857142857142855
money,cash,0.8
money,currency,0.8571428571428571
money,wealth,0.2857142857142857
money,property,0.3333333333333333
money,possession,0.26666666666666666
money,bank,0.15384615384615385
money,deposit,0.14285714285714285
money,withdrawal,0.23529411764705882
money,laundering,0.25
money,operation,0.3076923076923077
tiger,jaguar,0.5217391304347826
tiger,feline,0.5714285714285714
tiger,carnivore,0.6
tiger,mammal,0.6666666666666666
tiger,animal,0.8
tiger,organism,0.8571428571428571
tiger,fauna,0.2
tiger,zoo,0.5333333333333333
psychology,psychiatry,0.7272727272727273
psychology,anxiety,0.25
psychology,fear,0.25
psychology,depression,0.25
psychology,clinic,0.23529411764705882
psychology,doctor,0.1111111111111111
psychology,Freud,0.09523809523809523
psychology,mind,0.5714285714285714
psychology,health,0.21052631578947367
psychology,science,0.9411764705882353
psychology,discipline,0.875
psychology,cognition,0.6153846153846154
planet,star,0.8571428571428571
planet,constellation,0.13333333333333333
planet,moon,0.8
planet,sun,0.8
planet,galaxy,0.16666666666666666
planet,space,0.18181818181818182
planet,astronomer,0.47058823529411764
precedent,example,0.9230769230769231
precedent,information,0.3333333333333333
precedent,cognition,0.7272727272727273
precedent,law,0.3333333333333333
precedent,collection,0.36363636363636365
precedent,group,0.4
precedent,antecedent,0.15384615384615385
cup,coffee,0.26666666666666666
cup,tableware,0.8888888888888888
cup,article,0.625
cup,artifact,0.7692307692307693
cup,object,0.5454545454545454
cup,entity,0.2222222222222222
cup,drink,0.13333333333333333
cup,food,0.3076923076923077
cup,substance,0.3333333333333333
cup,liquid,0.2857142857142857
jaguar,cat,0.896551724137931
jaguar,car,0.3076923076923077
energy,secretary,0.2857142857142857
secretary,senate,0.13333333333333333
energy,laboratory,0.26666666666666666
computer,laboratory,0.35294117647058826
weapon,secret,0.13333333333333333
FBI,fingerprint,0.25
FBI,investigation,0.2
investigation,effort,0.35294117647058826
Mars,water,0.26666666666666666
Mars,scientist,0.47058823529411764
news,report,0.46153846153846156
canyon,landscape,0.3333333333333333
image,surface,0.15384615384615385
discovery,space,0.4
water,seepage,0.23529411764705882
sign,recess,0.2857142857142857
Wednesday,news,0.26666666666666666
mile,kilometer,0.8
computer,news,0.13333333333333333
territory,surface,0.5
atmosphere,landscape,0.125
president,medal,0.11764705882352941
war,troops,0.2857142857142857
record,number,0.3076923076923077
skin,eye,0.5882352941176471
Japanese,American,0.631578947368421
theater,history,0.14285714285714285
volunteer,motto,0.13333333333333333
prejudice,recognition,0.26666666666666666
decoration,valor,0.14285714285714285
century,year,0.8333333333333334
century,nation,0.2857142857142857
delay,racism,0.26666666666666666
delay,news,0.3333333333333333
minister,party,0.14285714285714285
peace,plan,0.3076923076923077
minority,peace,0.36363636363636365
attempt,peace,0.3076923076923077
government,crisis,0.26666666666666666
deployment,departure,0.7142857142857143
deployment,withdrawal,0.5555555555555556
energy,crisis,0.13333333333333333
announcement,news,0.6666666666666666
announcement,effort,0.3076923076923077
stroke,hospital,0.10526315789473684
disability,death,0.23529411764705882
victim,emergency,0.14285714285714285
treatment,recovery,0.4444444444444444
journal,association,0.3333333333333333
doctor,personnel,0.13333333333333333
doctor,liability,0.125
liability,insurance,0.2857142857142857
school,center,0.13333333333333333
reason,hypertension,0.26666666666666666
reason,criterion,0.36363636363636365
hundred,percent,0.25
Harvard,Yale,0.8888888888888888
hospital,infrastructure,0.125
death,row,0.2857142857142857
death,inmate,0.14285714285714285
lawyer,evidence,0.15384615384615385
life,death,0.3076923076923077
life,term,0.3076923076923077
word,similarity,0.3333333333333333
board,recommendation,0.25
governor,interview,0.11764705882352941
OPEC,country,0.625
peace,atmosphere,0.6666666666666666
peace,insurance,0.3076923076923077
territory,kilometer,0.14285714285714285
travel,activity,0.6666666666666666
competition,price,0.3333333333333333
consumer,confidence,0.13333333333333333
consumer,energy,0.3076923076923077
problem,airport,0.13333333333333333
car,flight,0.11764705882352941
credit,card,0.2857142857142857
credit,information,0.7272727272727273
hotel,reservation,0.375
grocery,money,0.1111111111111111
registration,arrangement,0.3333333333333333
arrangement,accommodation,0.3333333333333333
month,hotel,0.14285714285714285
type,kind,0.9473684210526315
arrival,hotel,0.125
bed,closet,0.5263157894736842
closet,clothes,0.5882352941176471
situation,conclusion,0.2857142857142857
situation,isolation,0.7272727272727273
impartiality,interest,0.25
direction,combination,0.16666666666666666
street,place,0.4
street,avenue,0.1
street,block,0.6666666666666666
street,children,N/A
listing,proximity,0.25
listing,category,0.3333333333333333
cell,phone,0.375
production,hike,0.5882352941176471
benchmark,index,0.7692307692307693
media,trading,N/A
media,gain,N/A
dividend,payment,0.42105263157894735
dividend,calculation,0.21052631578947367
calculation,computation,1.0
currency,market,0.2857142857142857
OPEC,oil,0.2222222222222222
oil,stock,0.3157894736842105
announcement,production,0.3333333333333333
announcement,warning,0.2857142857142857
profit,warning,0.2222222222222222
profit,loss,0.5
dollar,yen,0.26666666666666666
dollar,buck,0.1111111111111111
dollar,profit,0.23529411764705882
dollar,loss,0.3076923076923077
computer,software,0.11764705882352941
network,hardware,0.15384615384615385
phone,equipment,0.875
equipment,maker,0.5
luxury,car,0.1111111111111111
five,month,0.42857142857142855
report,gain,0.3333333333333333
investor,earning,N/A
liquid,water,0.47058823529411764
baseball,season,0.2222222222222222
game,victory,0.5714285714285714
game,team,0.2857142857142857
marathon,sprint,0.5
game,series,0.3076923076923077
game,defeat,0.5714285714285714
seven,series,0.2857142857142857
seafood,sea,0.36363636363636365
seafood,food,0.5454545454545454
seafood,lobster,0.8571428571428571
lobster,food,0.46153846153846156
lobster,wine,0.375
food,preparation,0.16666666666666666
video,archive,0.15384615384615385
start,year,0.3076923076923077
start,match,0.125
game,round,0.125
boxing,round,0.10526315789473684
championship,tournament,0.2857142857142857
fighting,defeating,N/A
line,insurance,0.3076923076923077
day,summer,0.5
summer,drought,0.2857142857142857
summer,nature,0.3333333333333333
day,dawn,0.26666666666666666
nature,environment,0.5454545454545454
environment,ecology,0.9230769230769231
nature,man,0.18181818181818182
man,woman,0.6666666666666666
man,governor,0.631578947368421
murder,manslaughter,0.9166666666666666
soap,opera,0.2222222222222222
opera,performance,0.2857142857142857
life,lesson,0.23529411764705882
focus,life,0.26666666666666666
production,crew,0.3076923076923077
television,film,0.5555555555555556
lover,quarrel,0.14285714285714285
viewer,serial,0.14285714285714285
possibility,girl,0.13333333333333333
population,development,0.26666666666666666
morality,importance,0.6666666666666666
morality,marriage,0.46153846153846156
Mexico,Brazil,0.8
gender,equality,0.3076923076923077
change,attitude,0.5454545454545454
family,planning,0.26666666666666666
opera,industry,0.26666666666666666
sugar,approach,0.1
practice,institution,0.3076923076923077
ministry,culture,0.5333333333333333
problem,challenge,0.6153846153846154
size,prominence,0.46153846153846156
country,citizen,0.14285714285714285
planet,people,0.18181818181818182
development,issue,0.375
experience,music,0.3333333333333333
music,project,0.3076923076923077
glass,metal,0.5454545454545454
aluminum,metal,0.9333333333333333
chance,credibility,0.5
exhibit,memorabilia,0.42857142857142855
concert,virtuoso,0.14285714285714285
rock,jazz,0.14285714285714285
museum,theater,0.625
observation,architecture,0.125
space,world,0.2
preservation,world,0.14285714285714285
admission,ticket,0.23529411764705882
shower,thunderstorm,0.23529411764705882
shower,flood,0.26666666666666666
weather,forecast,0.13333333333333333
disaster,area,0.13333333333333333
governor,office,0.42105263157894735
architecture,century,0.14285714285714285
